model,kind,seed,action_index,action_0,action_1,action_2,action_3,action_4,action_5,action_6
0,chunks,9000,0,0.06171376641203204,0.08336472620886978,-0.0956954135668723,-0.012716874447428824,-0.052801463341472024,-0.024153497240288153,0.21480917567747274
0,chunks,9000,1,0.0820945022705482,0.08829240843117542,-0.0670454475034113,-0.01043942167089462,-0.06502147722189537,-0.025482448952593304,0.21103893419283265
0,chunks,9000,2,0.10186802167907806,0.09159980237628124,-0.04313408702019268,-0.0083316711530823,-0.07593697178705965,-0.027033424429591967,0.20797615414795506
0,chunks,9000,3,0.12199424594420309,0.09549251919893545,-0.015132971623240468,-0.006037472193466769,-0.08822189436374824,-0.028590502456665105,0.20846610463185616
0,chunks,9000,4,0.13974317483227935,0.10027833857353732,0.009755635428068163,-0.00419653960982006,-0.10067650195375394,-0.029747402033541773,0.20167476957038427
0,chunks,9000,5,0.15676300339272548,0.1052876289894976,0.03546948095005088,-0.002305534868541836,-0.11275787680195412,-0.031013766682911063,0.19667321873358307
0,chunks,9000,6,0.16250302981179124,0.1057995365318682,0.038252675504412456,-0.0015651242215236926,-0.11589015474045583,-0.031244864774011314,0.18366288458380187
0,chunks,9000,7,0.16794082032804178,0.10356609359961275,0.033041134209556455,-0.0009872063112020745,-0.11490979199250133,-0.03136113504492614,0.17783332273489222
0,chunks,9000,8,0.17441193333052152,0.10020846866529814,0.025488424834649928,-0.00047199929042748097,-0.11268621258687159,-0.03142000397255384,0.17153983773196263
0,chunks,9000,9,0.18066105516385256,0.0956291818524105,0.01644724605058176,1.8959863442026244e-05,-0.10984965303508612,-0.03148934705945522,0.16631385644248284
0,chunks,9000,10,0.1874110204215107,0.08969842546899362,0.0047591445641675945,0.00044972587502723795,-0.10565215436541046,-0.031539609910780385,0.16682886154744736
0,chunks,9000,11,0.1973260030147767,0.0791901743504565,-0.013733022940524614,0.0005049499231948051,-0.10009135640231281,-0.031564247406344725,0.16745186680720758
0,chunks,9000,12,0.20843349746691017,0.06850886273962463,-0.03549326718772178,0.0005195673872904227,-0.09491260508243295,-0.03145871574400396,0.16608169774455714
0,chunks,9000,13,0.21999194420945517,0.05595724159718178,-0.05952431492495336,0.00047504317910349253,-0.08998582764998615,-0.031321367115423014,0.1644602861001872
0,chunks,9000,14,0.23155860682819684,0.044211914618803236,-0.08090669457866549,0.00043282814277775545,-0.08533156923951989,-0.031286674536232524,0.15643078114178655
0,chunks,9000,15,0.24170234288871192,0.03268698856034269,-0.10461150206437068,0.0003505814718015301,-0.08076630879230427,-0.03110357344677002,0.16213132643023204
0,chunks,9000,16,0.25228440045854045,0.023422108458912377,-0.13013603978927873,0.00043755585187922434,-0.07836894308472835,-0.030919150657188425,0.1517140276564143
0,chunks,9000,17,0.26337697993542447,0.014611127504380317,-0.1581730641439188,0.0004158108897925621,-0.0766114944774926,-0.030697146562277584,0.14980445286703578
0,chunks,9000,18,0.2739631093296098,0.005638345516689264,-0.1845667669246508,0.0004263162156346884,-0.07555484776103753,-0.030418764499161505,0.14542018894118736
0,chunks,9000,19,0.28369346944776924,-0.0009408261481886337,-0.21013766503315778,0.00045353452435377634,-0.07415276420608938,-0.029973938920593166,0.1422875949316172
0,chunks,9000,20,0.2928078916473643,-0.005787548000629833,-0.2344082819822912,0.00036397716837654375,-0.07333938968072137,-0.029639871702728235,0.1379215471890831
0,chunks,9000,21,0.2968306554863466,0.004634697468198723,-0.22779391316883965,0.00039498225334635333,-0.07100737762053554,-0.029168762923445207,0.13665943539102635
0,chunks,9000,22,0.29880791894853287,0.017789322852723957,-0.2196480592970675,0.0002469132477882145,-0.06754094525641087,-0.028601156375897097,0.1319724600596886
0,chunks,9000,23,0.3000094772996521,0.032868097559074036,-0.20904949288547128,-6.566628571051648e-05,-0.06447982080648317,-0.027653555853472706,0.11993910875125637
0,chunks,9000,24,0.29944554316888244,0.054082693044682925,-0.1956165526149855,-0.0004675934280130257,-0.06076915283535763,-0.026619425771535914,0.12028262234404807
0,chunks,9000,25,0.2948248260546148,0.08240952059260209,-0.17368343914080936,-0.0011307983668493548,-0.05628425443043034,-0.024972319695548747,0.11524036511702501
0,chunks,9000,26,0.26118343127525034,0.15248284550190222,-0.11421057003634298,-0.0032828613927219554,-0.050243265213393395,-0.020315537987148732,0.10532760745937476
0,chunks,9000,27,0.22112401069344664,0.2375046198707204,-0.04595815548107809,-0.00632728341740314,-0.04376594725047693,-0.015151653982704485,0.09911674375390485
0,chunks,9000,28,0.1820126480541337,0.3233294704093408,0.022497196142575962,-0.009388656294660791,-0.03797946040400427,-0.009705827684480244,0.09334239049940904
0,chunks,9000,29,0.14325357044917075,0.4122048950096405,0.09026905371722688,-0.012753102510431089,-0.03277282032144679,-0.004655576014541151,0.08512633178017272
